Poz,X_Dif,Y_Dif
2.364,-0.153814185003204,-0.528428507339702
2.366,-0.163335062715537,-0.516290554521317
2.368,-0.128419089327677,-0.513160765404218
2.370,-0.0882201300088504,-0.528458565019684
2.372,-0.102557017731254,-0.495245832697531
2.374,-0.123001171910764,-0.45132212591937
2.376,-0.13378086794641,-0.422864467299417
2.378,-0.112761455122532,-0.390446580401013
2.380,-0.124813312173833,-0.311888091677602
2.382,-0.133558189642018,-0.209545146031068
2.384,-0.118335386211737,-0.0831934568315683
2.386,-0.0970494582964568,0.0424127323221534
2.388,-0.0959241248817408,0.181391363261818
2.390,-0.0718743552964873,0.305973247474593
2.392,-0.0529826563310648,0.503463850825526
2.394,-0.0121568865016633,0.781984377574999
2.396,0.00352118289742729,0.965605639820551
2.398,0.00692770165105136,1.18765697195349
2.400,0.0219084383678701,1.43626209295938
2.402,0.0362219183935057,1.80861842707602
2.404,0.0492728782006287,2.03906912442396
2.406,0.067048280281991,2.14102555619984
2.408,0.0762539078951384,2.35280926847133
2.410,0.0463942167424543,2.41188059938353
2.412,0.0480639912106693,2.49684427014985
2.414,0.0747398297067171,2.49917427900021
2.416,0.103262657551805,2.42730740073855
2.418,0.084132731101413,2.36814860072634
2.420,0.0765469527268288,2.22646912137211
2.422,0.0455537705618458,2.09931534165471
2.424,0.0480195440534684,1.97396152836695
2.426,0.0551493270668661,1.66689500412
2.428,0.0585959868160039,1.49576309396649
2.430,0.0516067995239113,1.44150425122837
2.432,0.0191961424604022,1.27283547471541
2.434,0.00504799951170385,1.10158461867122
2.436,0.0328035462508011,1.03393103427229
2.438,0.0262474013489181,0.90962653889584
2.440,0.0221687398907437,0.745347422711875
2.442,0.0128450331125828,0.634394805749687
2.444,0.00106696371349223,0.638740629291665
2.446,-0.0380994018372143,0.587659120456557
2.448,-0.0652399914548174,0.59183021027253
2.450,-0.0760709463789789,0.484601821955016
2.452,-0.0514968840601825,0.445787444685202
2.454,-0.0288186590166936,0.391625415814692
2.456,-0.0226228095339824,0.328228681295206
2.458,-0.0175976256599628,0.322336988433485
2.460,-0.0246582201605274,0.309039344462416
2.462,-0.0690075411236915,0.265816217535936
2.464,-0.0926899166844691,0.206242316965239
2.466,-0.10671938840907,0.208418472853786
2.468,-0.109007983642079,0.148812408825953
2.470,-0.0777306436353649,0.11757330240791
2.472,-0.0906740562150944,0.108651533555101
2.474,-0.121158482619709,0.0829814661091952
2.476,-0.130440272225105,0.0222515579699087
2.478,-0.137058626056703,0.0312453260902738
2.480,-0.142637299722282,0.0139354045228431
2.482,-0.135540260017701,0.00986488845484786
2.484,-0.129086202581866,-0.0236176244392224
2.486,-0.139692422254097,-0.0418408764915922
2.488,-0.149846186712241,-0.0386121402630695
2.490,-0.160405285805841,-0.0520482863856929
2.492,-0.149315231788079,-0.0643330179754021
2.494,-0.157932407605213,-0.0859422162541582
2.496,-0.155929316080203,-0.0601
2.498,-0.170995208594012,-0.0991567186498612
2.500,-0.160771507919553,-0.0809045686208686
2.502,-0.156482357249672,-0.107028412732322
2.504,-0.149898355052339,-0.115604113895077
2.506,-0.157073738822596,-0.122546205023347
2.508,-0.146769157994324,-0.120151988280892
2.510,-0.163600112918485,-0.136342646565142
2.512,-0.153245469527268,-0.160278643147069
2.514,-0.144268272957549,-0.153986046937468
2.516,-0.158046641438032,-0.16516737571337
2.518,-0.136406189153722,-0.164718192083499
2.520,-0.143592709128086,-0.17017120883816
2.522,-0.133721463667714,-0.169503964354381
2.524,-0.115740116580706,-0.182066335032197
2.526,-0.117385317545091,-0.212759953611866
2.528,-0.104403390606403,-0.206743369853816
2.530,-0.101878499710074,-0.197326337473678
2.532,-0.106429615161595,-0.212757878353221
2.534,-0.120548722800378,-0.185631653798029
2.536,-0.15820634479812,-0.193584545426801
2.538,-0.151108575701163,-0.228270760216071
2.540,-0.151688259529405,-0.208401608325449
2.542,-0.14722128971221,-0.195678923917356
2.544,-0.143235224463637,-0.203717300943022
2.546,-0.148765300454726,-0.23295700552385
2.548,-0.127839817499313,-0.243030774864956
2.550,-0.140691537217322,-0.224089138462478
2.552,-0.153542497024445,-0.234412671285134
2.554,-0.172325302896207,-0.220390478225044
2.556,-0.170122934659871,-0.234687337870418
2.558,-0.152020572527238,-0.237143226416822
2.560,-0.1535921109653,-0.256880556657613
2.562,-0.152348411511582,-0.241407510605182
2.564,-0.146364409314249,-0.273486452833644
2.566,-0.163073738822596,-0.251620679342021
2.568,-0.164715381328776,-0.249702444532609
2.570,-0.162053285317545,-0.253212073122349
